Collection_Sample,gDNA_Sample,Babesia_sp,Babesia_sp_Coco,Babesia_odocoieli,Borrelia_lonestari,Cryptoplasma_sp,Cytauxozoon_felis,Ehrlichia_chaffeensis,Ehrlichia_ewingii,Ehrlichia_sp_PanolaMountain,Hepatozoon_sp_A,Hepatozoon_sp_B,Rickettsia_amblyommatis,Rickettsia_andeanae,Rickettsia_parkeri,Rickettsia_rhiphicephali,Rickettsia_sp_Iaff,Rickettsia_sp_Iscap,Theileria_cervi
IS78,IS78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS79,IS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS80,IS80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS81,IS81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS82,IS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS83,IS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS84,IS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS85,IS85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS86,IS86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS87,IS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS88,IS88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS89,IS89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA23,AduAA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA108,AduAA02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA147,AduAA03,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA148,AduAA04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA234,AduAA05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA235,AduAA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA316,AduAA07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA317,AduAA08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA318,AduAA09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA322,AduAA10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA357,AduAA11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA358,AduAA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA359,AduAA13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA371,AduAA14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA385,AduAA15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA555,AduAA16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA770,AduAA17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA772,AduAA18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA773,AduAA19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA776,AduAA20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA777,AduAA21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA786,AduAA22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA808,AduAA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA900,AduAA24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA901,AduAA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA912,AduAA26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AA913,AduAA27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1009,AduAA28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1010,AduAA29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1048,AduAA30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1087,AduAA31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1088,AduAA32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1089,AduAA33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1090,AduAA34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1091,AduAA35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1094,AduAA36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1095,AduAA37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1453,AduAA38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1517,AduAA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1577,AduAA40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1598,AduAA41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1644,AduAA42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1664,AduAA43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
